time,seconds_elapsed,z,y,x
1765549730101019100,0.08601904296875,-0.019824622198939323,-0.0388493537902832,-0.007377251982688904
1765549730111012000,0.09601220703125,-0.019140969961881638,-0.008055292069911957,-0.07030823826789856
1765549730121005000,0.106005126953125,-0.0265517495572567,-0.01162499375641346,-0.1243099570274353
1765549730130998000,0.115998046875,-0.03616420179605484,-0.04183128848671913,-0.15236151218414307
1765549730140992300,0.1259921875,-0.0379040464758873,-0.0920177549123764,-0.15833444893360138
1765549730150985000,0.13598486328125,-0.0419665090739727,-0.1103997528553009,-0.14779822528362274
1765549730160978200,0.145978271484375,-0.04515670984983444,-0.11361471563577652,-0.13525472581386566
1765549730170971100,0.15597119140625,-0.048333436250686646,-0.11676628142595291,-0.1305394172668457
1765549730180964000,0.165964111328125,-0.04380206763744354,-0.10690139979124069,-0.14132282137870789
1765549730190958000,0.1759580078125,-0.03221839666366577,-0.11759164184331894,-0.14897358417510986
1765549730200951000,0.185950927734375,-0.022211570292711258,-0.12579497694969177,-0.1370902955532074
1765549730210944300,0.1959443359375,-0.01756468415260315,-0.14087684452533722,-0.10853587090969086
1765549730220937000,0.20593701171875,-0.021284587681293488,-0.16515982151031494,-0.08121556043624878
1765549730230930200,0.21593017578125,-0.029315020889043808,-0.17461444437503815,-0.07313501089811325
1765549730240924200,0.225924072265625,-0.03890346363186836,-0.17013713717460632,-0.09381179511547089
1765549730250917000,0.235917236328125,-0.04374697431921959,-0.17816464602947235,-0.14036495983600616
1765549730260910000,0.24591015625,-0.040909379720687866,-0.19260962307453156,-0.1978149265050888
1765549730270903000,0.255903076171875,-0.04216752201318741,-0.19832682609558105,-0.25526902079582214
1765549730280896300,0.265896240234375,-0.04660540819168091,-0.21411830186843872,-0.29815709590911865
1765549730290890000,0.275889892578125,-0.04715432971715927,-0.22949852049350739,-0.323956161737442
1765549730300883000,0.285883056640625,-0.05582132190465927,-0.2811603844165802,-0.3465387225151062
1765549730310876200,0.295876220703125,-0.06422648578882217,-0.33531102538108826,-0.38539400696754456
1765549730320868900,0.305868896484375,-0.073149673640728,-0.3722362816333771,-0.4369983375072479
1765549730330862000,0.315862060546875,-0.08371211588382721,-0.40461692214012146,-0.5026141405105591
1765549730340856000,0.32585595703125,-0.08982353657484055,-0.38643980026245117,-0.5596340298652649
1765549730350849000,0.33584912109375,-0.04856260493397713,-0.40703463554382324,-0.5791337490081787
1765549730360842000,0.345842041015625,-0.08743677288293839,-0.45361199975013733,-0.561247706413269
1765549730370835000,0.3558349609375,-0.17629529535770416,-0.45369231700897217,-0.40645813941955566
1765549730380828200,0.365828125,-0.22344203293323517,-0.5204015970230103,-0.251171350479126
1765549730390822100,0.375822265625,-0.2441207319498062,-0.5678276419639587,-0.13351154327392578
1765549730400815000,0.385815185546875,-0.255023717880249,-0.6241521835327148,-0.07321970909833908
1765549730410808000,0.39580810546875,-0.25281795859336853,-0.7502080798149109,-0.050455790013074875
1765549730420801300,0.40580126953125,-0.23379312455654144,-0.8762224912643433,-0.027771515771746635
1765549730430794000,0.4157939453125,-0.23304684460163116,-1.0435770750045776,-0.0061470577493309975
1765549730440787200,0.425787109375,-0.2520519495010376,-1.1835376024246216,-0.006474893540143967
1765549730450781200,0.43578125,-0.2651618421077728,-1.2170765399932861,-0.035982951521873474
1765549730460774100,0.445774169921875,-0.3135456144809723,-1.0468312501907349,-0.03504551947116852
1765549730470767000,0.45576708984375,-0.3058084547519684,-0.9314616322517395,-0.03513777628540993
1765549730480760000,0.465760009765625,-0.2728355824947357,-0.7988942265510559,-0.04061669856309891
1765549730490753300,0.475753173828125,-0.23377905786037445,-0.7100368738174438,-0.04918545112013817
1765549730500747000,0.4857470703125,-0.20615676045417786,-0.7538631558418274,-0.06160776689648628
1765549730510740000,0.495739990234375,-0.20250430703163147,-0.8463508486747742,-0.05842581018805504
1765549730520733200,0.505733154296875,-0.2174885869026184,-0.9121676683425903,-0.04014667496085167
1765549730530726100,0.51572607421875,-0.2578154504299164,-1.0157922506332397,0.03524244204163551
1765549730540719000,0.525718994140625,-0.323976069688797,-1.092670202255249,0.14537958800792694
1765549730550713000,0.535713134765625,-0.41688063740730286,-1.1246228218078613,0.26950907707214355
1765549730560705300,0.545705322265625,-0.5132836103439331,-1.0841025114059448,0.37323495745658875
1765549730570698200,0.5556982421875,-0.5942844152450562,-1.0456875562667847,0.43190041184425354
1765549730580691500,0.56569140625,-0.6422186493873596,-0.9708817005157471,0.4393974840641022
1765549730590684200,0.57568408203125,-0.6263038516044617,-0.8041913509368896,0.40455856919288635
1765549730600678100,0.58567822265625,-0.5694022178649902,-0.561489999294281,0.29494819045066833
1765549730610671400,0.59567138671875,-0.4837997853755951,-0.30320262908935547,0.08607711642980576
1765549730620664300,0.605664306640625,-0.40424370765686035,-0.15432101488113403,-0.1534806191921234
1765549730630657300,0.6156572265625,-0.34872403740882874,-0.13664759695529938,-0.3168807327747345
1765549730640650200,0.625650146484375,-0.33736780285835266,-0.1763976812362671,-0.3142918646335602
1765549730650644200,0.635644287109375,-0.3540760576725006,-0.2715412676334381,-0.16157682240009308
1765549730660637200,0.64563720703125,-0.3708520829677582,-0.3481263518333435,0.0627143383026123
1765549730670630100,0.655630126953125,-0.39138126373291016,-0.3803829550743103,0.30256253480911255
1765549730680623400,0.665623291015625,-0.3728773295879364,-0.3475610911846161,0.510338306427002
1765549730690616000,0.675615966796875,-0.29656773805618286,-0.2612399160861969,0.7150010466575623
1765549730700610000,0.685610107421875,-0.2066463828086853,-0.19984790682792664,0.9393150806427002
