time,seconds_elapsed,z,y,x
1765549747743772000,0.06177197265625,-0.040663670748472214,-0.1722937524318695,-0.054585278034210205
1765549747753764900,0.071764892578125,-0.05783151835203171,-0.15973372757434845,-0.07589730620384216
1765549747763757800,0.0817578125,-0.06756962835788727,-0.1998843401670456,-0.10162344574928284
1765549747773751800,0.091751708984375,-0.07062450051307678,-0.29165375232696533,-0.11208704859018326
1765549747783744800,0.101744873046875,-0.08464284986257553,-0.3612440228462219,-0.07871311157941818
1765549747793737700,0.11173779296875,-0.04826529696583748,-0.38711732625961304,-0.008319038897752762
1765549747803730700,0.121730712890625,-0.027169331908226013,-0.37751954793930054,0.06067174673080444
1765549747813724000,0.131723876953125,-0.017341509461402893,-0.35912370681762695,0.11603759229183197
1765549747823718000,0.1417177734375,-0.011494272388517857,-0.3425881564617157,0.14858967065811157
1765549747833710600,0.151710693359375,-0.018402718007564545,-0.35700905323028564,0.1429876983165741
1765549747843703800,0.161703857421875,-0.04966476559638977,-0.41339001059532166,0.09888628870248795
1765549747853696800,0.17169677734375,-0.09724753350019455,-0.4979192018508911,0.03889606148004532
1765549747863689700,0.181689697265625,-0.14964868128299713,-0.5321871042251587,0.0062595559284091
1765549747873683700,0.19168359375,-0.20697355270385742,-0.4734562635421753,-0.004824378527700901
1765549747883676700,0.2016767578125,-0.2540428042411804,-0.4085339903831482,-0.03770989179611206
1765549747893670000,0.211669921875,-0.31276628375053406,-0.4408285915851593,-0.09369801729917526
1765549747903662600,0.22166259765625,-0.3710266649723053,-0.5638141632080078,-0.14850054681301117
1765549747913655800,0.23165576171875,-0.41089582443237305,-0.724830687046051,-0.21747973561286926
1765549747923649800,0.24164990234375,-0.45347073674201965,-0.8958953619003296,-0.2806829512119293
1765549747933642800,0.251642822265625,-0.47891899943351746,-0.9714496731758118,-0.31352725625038147
1765549747943635700,0.2616357421875,-0.4699974060058594,-0.9506333470344543,-0.31691774725914
1765549747953628700,0.271628662109375,-0.43362241983413696,-0.8904942274093628,-0.30438846349716187
1765549747963622000,0.281621826171875,-0.40012943744659424,-0.8174173831939697,-0.2742542624473572
1765549747973615600,0.29161572265625,-0.38853371143341064,-0.6885024309158325,-0.24685952067375183
1765549747983608800,0.30160888671875,-0.414509654045105,-0.5060220956802368,-0.23448674380779266
1765549747993601800,0.311601806640625,-0.4456905424594879,-0.3268447816371918,-0.22827091813087463
1765549748003594800,0.3215947265625,-0.48182937502861023,-0.2542496621608734,-0.1935747116804123
1765549748013587700,0.331587646484375,-0.508352518081665,-0.38694310188293457,-0.12295272201299667
1765549748023581700,0.341581787109375,-0.5117461681365967,-0.8292174339294434,-0.034980520606040955
1765549748033575000,0.351574951171875,-0.48467162251472473,-1.4040582180023193,0.08788050711154938
1765549748043567600,0.361567626953125,-0.44998952746391296,-1.8509087562561035,0.22314351797103882
1765549748053560800,0.371560791015625,-0.4293534457683563,-2.0691683292388916,0.3077961802482605
1765549748063553800,0.3815537109375,-0.4175570011138916,-2.0628530979156494,0.3272111415863037
1765549748073547800,0.3915478515625,-0.41526636481285095,-1.924072265625,0.30987459421157837
1765549748083540700,0.401540771484375,-0.4437800347805023,-1.774438500404358,0.27636775374412537
1765549748093533700,0.41153369140625,-0.5066397786140442,-1.6530539989471436,0.25912922620773315
1765549748103527000,0.42152685546875,-0.6458938121795654,-1.6562551259994507,0.24888217449188232
1765549748113519600,0.43151953125,-0.8598757386207581,-1.7586870193481445,0.1796564757823944
1765549748123513600,0.441513671875,-1.0701276063919067,-1.878728985786438,0.005541132763028145
1765549748133506800,0.4515068359375,-1.2753915786743164,-1.9310778379440308,-0.2908007502555847
1765549748143499800,0.461499755859375,-1.3883942365646362,-1.8491883277893066,-0.6253963112831116
1765549748153492700,0.47149267578125,-1.2583390474319458,-1.7994065284729004,-0.8788904547691345
1765549748163485700,0.481485595703125,-0.8513603806495667,-1.8615906238555908,-0.9734292030334473
1765549748173479000,0.49147900390625,-0.4543110728263855,-1.9810237884521484,-0.9120222926139832
1765549748183472600,0.50147265625,-0.19285842776298523,-2.20894193649292,-0.7308841943740845
1765549748193465600,0.511465576171875,-0.10425422340631485,-2.725471258163452,-0.5576445460319519
1765549748203458800,0.521458740234375,-0.054036322981119156,-3.285208225250244,-0.4039037227630615
1765549748213451800,0.53145166015625,-0.02297954447567463,-3.495285749435425,-0.23798784613609314
1765549748223444700,0.54144482421875,-0.1128135621547699,-3.4180338382720947,-0.1927521973848343
1765549748233438700,0.551438720703125,-0.4369015693664551,-3.208829402923584,-0.3472013473510742
1765549748243431700,0.561431640625,-0.8935160040855408,-2.8912525177001953,-0.663364052772522
1765549748253424600,0.571424560546875,-1.3210216760635376,-2.454227924346924,-1.0164549350738525
1765549748263417600,0.58141748046875,-1.5843305587768555,-2.069211959838867,-1.3193258047103882
1765549748273410800,0.591410888671875,-1.6235697269439697,-1.7446473836898804,-1.5046091079711914
1765549748283404800,0.60140478515625,-1.3963278532028198,-1.5725460052490234,-1.5596579313278198
1765549748293397800,0.611397705078125,-1.0418468713760376,-1.778054118156433,-1.5028284788131714
1765549748303390700,0.621390625,-0.8380566835403442,-2.253160238265991,-1.3759874105453491
1765549748313384000,0.631384033203125,-0.8764162659645081,-2.7414169311523438,-1.2560298442840576
1765549748323376600,0.641376708984375,-0.9318933486938477,-3.1049726009368896,-1.150492548942566
1765549748333370600,0.65137060546875,-0.963956892490387,-3.0484251976013184,-0.9979727864265442
1765549748343363800,0.66136376953125,-0.9842872023582458,-2.9073500633239746,-0.8438596725463867
1765549748353356800,0.671356689453125,-0.9801434278488159,-3.170304536819458,-1.0067583322525024
1765549748363349800,0.681349853515625,-1.0100120306015015,-3.4728994369506836,-1.4053553342819214
